ATC_C,ATC_H,ATC_N,ATC_O,ATC_S
27.3,10.46,55.87,5.87,0.51
25.34,14.17,53.68,6.81,0.0
27.94,11.49,52.22,8.36,0.0
24.86,12.85,51.4,9.22,1.68
27.14,10.55,50.75,10.55,1.01
27.37,10.74,50.9,9.97,1.02
27.0,11.0,51.0,10.0,1.0
27.48,10.64,51.24,9.65,0.99
25.0,13.74,51.1,9.34,0.82
27.7,11.91,52.35,7.48,0.55
27.35,12.82,51.85,7.41,0.57
26.47,11.76,53.92,7.35,0.49
26.49,11.46,54.18,7.4,0.48
26.85,12.28,52.69,8.18,0.0
27.32,11.22,52.93,8.54,0.0
26.89,10.51,55.01,7.58,0.0
25.88,13.48,53.64,7.01,0.0
26.67,10.77,55.9,6.15,0.51
26.59,11.29,53.41,8.47,0.24
26.07,11.03,56.39,6.52,0.0
27.27,12.73,52.73,7.27,0.0
25.14,13.69,53.07,6.98,1.12
26.5,12.25,54.5,6.5,0.25
27.76,13.31,51.27,6.52,1.13
27.71,13.43,51.14,6.57,1.14
27.71,13.43,51.14,6.57,1.14
27.67,13.54,51.01,6.63,1.15
27.64,13.11,51.28,6.84,1.14
26.29,12.86,51.43,7.14,2.29
25.94,11.34,55.42,6.55,0.76
26.49,11.14,54.7,7.18,0.5
26.44,10.34,56.01,6.49,0.72
27.27,11.62,54.04,7.07,0.0
26.34,11.25,56.01,6.39,0.0
27.81,11.99,52.04,8.16,0.0
26.41,11.49,54.52,7.58,0.0
27.19,11.29,53.23,8.06,0.23
25.0,13.08,50.87,8.43,2.62
27.11,13.68,52.11,6.84,0.26
28.43,10.47,53.62,7.23,0.25
27.46,11.59,54.41,6.3,0.25
28.68,10.29,53.68,7.35,0.0
28.45,13.52,51.55,6.48,0.0
28.8,11.41,47.01,12.77,0.0
25.48,11.91,55.4,6.65,0.55
25.54,12.37,54.84,6.45,0.81
25.48,11.78,55.34,6.58,0.82
26.54,11.53,54.69,6.7,0.54
25.74,11.53,55.76,6.43,0.54
26.18,12.53,54.32,6.41,0.56
24.65,12.32,55.46,6.72,0.84
24.58,12.43,55.37,6.78,0.85
24.57,12.86,54.86,6.86,0.86
25.42,12.43,55.08,6.5,0.56
24.41,13.24,55.29,6.47,0.59
24.65,12.32,55.74,6.44,0.84
24.59,11.75,55.74,7.1,0.82
24.58,12.43,55.65,6.5,0.85
24.65,12.47,55.4,6.65,0.83
25.35,12.68,54.93,6.48,0.56
26.82,12.03,54.14,6.77,0.25
25.48,11.78,55.34,6.58,0.82
24.72,12.36,55.9,6.46,0.56
24.72,12.5,55.68,6.25,0.85
24.72,12.5,55.68,6.25,0.85
26.74,11.83,55.01,6.43,0.0
26.03,11.86,55.67,6.44,0.0
27.02,12.37,54.29,6.31,0.0
26.06,12.23,54.79,6.91,0.0
26.78,12.02,54.37,6.83,0.0
